Representative,ReportDate,House,Party,TransactionDate,Ticker,Transaction,Range,District
Debbie Dingell,2023-12-14,Representatives,D,2023-12-05,MDT,Purchase,"$15,001-$50,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,PCH,Purchase,"$1,001-$15,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,MMM,Purchase,"$15,001-$50,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,MO,Sale,"$50,001-$100,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,PCH,Purchase,"$15,001-$50,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,V,Purchase,"$50,001-$100,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,INTC,Purchase,"$1,001-$15,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,WBD,Purchase,"$1,001-$15,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,MKL,Purchase,"$50,001-$100,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,PM,Sale,"$100,001-250,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,PCH,Purchase,"$1,001-$15,000",
James French Hill,2023-12-13,Representatives,R,2023-11-22,FIS,Purchase,"$15,001-$50,000",
Michael Patrick Guest,2023-12-11,Representatives,R,2023-11-13,UBER,Purchase,"$1,001-$15,000",
Michael Patrick Guest,2023-12-11,Representatives,R,2023-11-13,DT,Purchase,"$1,001-$15,000",
Michael Patrick Guest,2023-12-11,Representatives,R,2023-11-13,MEDP,Purchase,"$1,001-$15,000",
Michael Patrick Guest,2023-12-11,Representatives,R,2023-11-13,EVVTY,Purchase,"$1,001-$15,000",
Michael Patrick Guest,2023-12-11,Representatives,R,2023-11-13,ULTA,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-29,NOW,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-29,GOOGL,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-28,TMO,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-28,PANW,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-28,HCA,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-27,PWR,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-27,ROK,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-22,NOW,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-22,CRM,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-20,CELH,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-20,MNST,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-16,AZO,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-16,MCK,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-16,DASH,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-16,LLY,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-15,INTA,Purchase,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-13,HCA,Sale,"$1,001-$15,000",
Josh Gottheimer,2023-12-08,Representatives,D,2023-11-13,EXAS,Sale,"$1,001-$15,000",
